Name
OPLINK COMMUNICATIONS INC
ADVANCED SEMICONDUCTOR ENGINEERING INC
GENOMICA CORP /DE/
DOCENT INC
"ROAD, INC"
ELASTIC NETWORKS INC
"STEC, INC."
COSINE COMMUNICATIONS INC
AVANTGO INC
VASTERA INC
INRANGE TECHNOLOGIES CORP
OMNISKY CORP
VIRYANET LTD
TTM TECHNOLOGIES INC
"KNOVA SOFTWARE, INC."
VELOCITYHSI INC
PEOPLEPC INC
VIEWLOCITY INC
LEXAR MEDIA INC
AVISTAR COMMUNICATIONS CORP
EQUINIX INC
EVOLVE SOFTWARE INC
REPEATER TECHNOLOGIES INC
TVIA INC
RADVIEW SOFTWARE LTD
TELECOMMUNICATION SYSTEMS INC /FA/
"STATS CHIPPAC, INC."
MCDATA CORP
MIND CTI LTD
MICROTUNE INC
EXE TECHNOLOGIES INC
LANTRONIX INC
INNOVATIVE SOLUTIONS & SUPPORT INC
IPO CONNECTION COM
EROOMSYSTEM TECHNOLOGIES INC
"ETELOS, INC."
PINNACOR INC
RESONATE INC
IASIAWORKS INC
SIGNALSOFT CORP
SPEECHWORKS INTERNATIONAL INC
VIRAGE LOGIC CORP
BROADWING CORP
SOAPSTONE NETWORKS INC.
WEBEX COMMUNICATIONS INC
VALICERT INC
CAMTEK LTD
RAINDANCE COMMUNICATIONS INC
INTERLAND INC
BLUE MARTINI SOFTWARE INC
TYCOM LTD
CORIO INC
TALARIAN CORP
SMTC CORP
"SUPPORT.COM, INC."
OMNIVISION TECHNOLOGIES INC
DIVINE INC
SOHU COM INC
AXCELIS TECHNOLOGIES INC
SUNRISE TELECOM INC
SERANOVA INC
STORAGENETWORKS INC
"IGO, INC."
EXFO INC.
BUSYBOX COM INC
VIRAGE INC
CARESCIENCE INC
GENUITY INC
CLICK COMMERCE INC
EFUNDS CORP
ACCORD NETWORKS LTD
STRATOS INTERNATIONAL INC
MARVELL TECHNOLOGY GROUP LTD
QUALSTAR CORP
CLICKSOFTWARE TECHNOLOGIES LTD
HANDSPRING INC
ECHAPMAN INC
SILVERLINE TECHNOLOGIES LTD
REDIFF COM INDIA LTD
AUGUST TECHNOLOGY CORP
EXULT INC
ONI SYSTEMS CORP
CROSSWORLDS SOFTWARE INC
SONUS NETWORKS INC
SIRENZA MICRODEVICES INC
INTEGRATED CIRCUIT SYSTEMS INC
"PIXELWORKS, INC"
IBEAM BROADCASTING CORP
NOGATECH INC
SEQUOIA SOFTWARE CORP
C CUBE MICROSYSTEMS INC/DE
SEEBEYOND TECHNOLOGY CORP
ON SEMICONDUCTOR CORP
ROCKFORD CORP
360NETWORKS INC
PEC SOLUTIONS INC
EMBARCADERO TECHNOLOGIES INC
HEALTHSTREAM INC
NUANCE COMMUNICATIONS
LIVEPERSON INC
"PURPLE COMMUNICATIONS, INC."
SABA SOFTWARE INC
NUMERICAL TECHNOLOGIES INC
VYYO INC
I3 MOBILE INC
"ULTICOM, INC"
CABOT MICROELECTRONICS CORP
ARROWPOINT COMMUNICATIONS INC
"CONVERSANT, INC."
DIRECTV BROADBAND INC
ARTISTDIRECT INC
WEBSENSE INC
MOLDFLOW CORP
EPRISE CORP
DIGITAL LIGHTHOUSE CORP
EMACHINES INC /DE/
SILICON LABORATORIES INC
PARTSBASE INC
SCO GROUP INC
IGN ENTERTAINMENT INC
BLAZE SOFTWARE INC
