,IPO name,Offer date,SIC,Ticker,Unit,Offer price,S1Link
114,E-Commerce China Dangdang Inc,20101207,5990,DANG,1,16.0,
115,Bitauto Holdings Ltd,20101117,7374,BITA,1,12.0,
116,Mecox Lane Ltd,20101026,5999,MCOX,1,11.0,
117,SouFun Holdings Ltd,20100916,7374,SFUN,1,42.5,
118,MakeMyTrip Ltd,20100811,4724,MMYT,1,14.0,
119,Envestnet Inc,20100728,7372,ENV,1,9.0,
120,Higher One Holdings Inc,20100616,7389,ONE,1,12.0,
121,ReachLocal Inc,20100519,7311,RLOC,1,13.0,
122,Convio Inc,20100429,7372,CNVO,1,9.0,
123,Financial Engines Inc,20100315,6282,FNGN,1,12.0,
124,QuinStreet Inc,20100210,7389,QNST,1,15.0,
125,Ancestry.com,20091105,7374,ACOM,1,13.5,
126,Shanda Games Ltd,20090924,7375,GAME,1,12.5,
127,Vitacost.com Inc,20090923,5961,VITC,1,12.0,
128,OpenTable Inc,20090521,7389,OPEN,1,20.0,
129,SolarWinds Inc,20090519,7372,SWI,1,12.5,
130,Changyou.com Ltd,20090401,7375,CYOU,1,16.0,
131,Rackspace Hosting Inc,20080807,7375,RAX,1,12.5,
132,NetSuite Inc,20071219,7372,N,1,26.0,
133,K12 Inc,20071212,8299,LRN,1,18.0,
134,Internet Brands Inc,20071116,5961,INET,1,8.0,
135,Virtual Radiologic Corp,20071114,3826,VRAD,1,17.0,
136,American Public Education Inc,20071108,8211,APEI,1,20.0,
137,SoundBite Communications Inc,20071101,7371,SDBT,1,8.0,
138,012 Smile.Communications Ltd,20071030,4899,SMLC,1,12.0,
139,Maxcom Telecomunicaciones SA,20071018,4813,MXT,1,17.5,
140,Constant Contact Inc,20071002,7331,CTCT,1,16.0,
141,Mercadolibre Inc,20070809,5999,MELI,1,18.0,
142,HireRight Inc,20070807,7374,HIRE,1,15.0,
143,Voltaire Ltd,20070725,7372,VOLT,1,9.0,
144,Monotype Imaging Holdings Inc,20070724,7371,TYPE,1,12.0,
145,Orbitz Worldwide Inc,20070719,7375,OWW,1,15.0,
146,Dice Holdings Inc,20070717,7319,DHX,1,13.0,
147,Comscore Inc,20070626,7372,SCOR,1,16.5,
148,Limelight Networks Inc,20070607,7389,LLNW,1,15.0,
149,TechTarget Inc,20070516,2741,TTGT,1,13.0,
150,Veraz Networks Inc,20070404,7375,VRAZ,1,8.0,
151,Aruba Networks Inc,20070326,7372,ARUN,1,11.0,
152,US Auto Parts Networks Inc,20070208,5531,PRTS,1,10.0,
153,Guidance Software,20061213,7372,GUID,1,11.5,
154,Capella Education Co,20061109,8299,CPLA,1,20.0,
155,Acme Packet Inc,20061012,7373,APKT,1,9.5,
156,EHealth Inc,20061012,6411,EHTH,1,14.0,
157,Shutterfly Inc,20060928,7384,SFLY,1,15.0,
158,CommVault Systems Inc,20060921,7372,CVLT,1,14.5,
159,Riverbed Technology Inc,20060920,3577,RVBD,1,9.75,
160,WNS(Holdings)Ltd,20060725,7389,WNS,1,20.0,
161,GMarket Inc,20060628,5961,GMKT,1,15.25,
162,Omniture Inc,20060627,7372,OMTR,1,6.5,
163,LoopNet Inc,20060606,6531,LOOP,1,12.0,
